Variable,Coef,SE,t-stat,p-value,CI_low,CI_high
pre_3,0.0366,0.0229,1.5975,0.1102,-0.0224,0.0957
pre_2,0.0314,0.0209,1.4992,0.1339,-0.0225,0.0853
current,0.1234,0.0217,5.6815,0.0000,0.0675,0.1794
time_1,0.1386,0.0244,5.6681,0.0000,0.0756,0.2015
