outcome,spec,did_coef,did_t,did_p,nobs
DivDummy,did_only,0.08052310383910605,6.669095706731808,2.779421137688587e-11,9004
DivDummy,with_controls,0.08279882866590721,6.764254258728936,1.45354839276024e-11,9004
DivPayRate,did_only,0.12383111649639839,7.065308572367378,1.7645884753392238e-12,9004
DivPayRate,with_controls,0.10812598555410098,6.411545146036882,1.538804639267255e-10,9004
