Stkcd,year,Dividend_ratio1,Dividend_ratio2,Dividend_ratio3,Dividend,Managefee_ratio,Manageshare,Indep_ratio,Bgender,Bshare,Bage,Btenure,Bsalary,Equity,Da_abs,Tunneling,Top1,Sharebalance,Minorityrate,Institution,Pledge,Retainedearn_ratio,Freecash2,Tax_avoid,Tax_ratio,Tax_volatility,Constraint,Refinance,Sentiment,Dividend_lag,ROA,Cashflow,Tobinq,BM,Lev,Soe,Growth,Lnsize,Analyst_num,Market_idx,ind1,ind2,ind3,ind4,ind5,ind7,ind8,ind11,ind12,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind37,ind38,ind39,ind40,ind41,ind42
2,2006,.3042201418071487,1.351294480318125,.9715025906735751,1,.0477337982963532,.0292,.3636363636363636,.1818181818181818,.0001437140848758,4.02535169073515,4.007333185232471,14.08739170063742,1,.059352494690322,.0152974235170707,14.54,.4759,83.95,51.5455,0,.1045319336252816,-.0943339264115293,.0017659665149605,.320351,.0357386886441011,-3.666093,1,.61382955,.4135204651278192,.0444183016523039,-.6920346795627622,1.900205,.526259,.6494181365085943,1,.6903552409494531,24.43250204079326,2.8903718,9.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2006,.4104300838215497,3.040744800766359,2.609992542878449,1,.0695327839876697,1.5881,.3333333333333333,.3333333333333333,.0053113069807891,3.931825632724326,3.784189633918261,13.61302833378544,1,.1043583725033387,.0212036857838616,21.62,.487,71.98,46.8137,0,.1448695795386941,-.1686671034442817,.0561488234687278,.147919,.0970215594530412,-3.822951,0,.15866204,.4134480881471324,.0738135151566086,.9782090458261219,1.530589,.653343,.54558160744419,1,-.1250645162508067,21.79448135502102,1.3862944,9.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2007,.0983938192938472,.4554094746439499,.3824091778202677,1,.0735358683792424,1.5881,.3333333333333333,.3333333333333333,.0053113069807891,3.951243718581428,4.02535169073515,12.68850188118946,0,.1107422345516273,.0118044746428001,20.17,.4978,78.38,40.6114,0,.1119018949360989,-.1330737400346124,.0443683958122269,.139505,.0681334560821627,-3.877829,0,-.18755534,.4104300838215497,.0453276242472306,-2.076311852665126,1.748511,.571915,.6774184371510349,1,-.1837335487154707,22.44037919265404,1.0986123,9.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2008,.2701023687977744,.6852158426942725,1.622718052738337,1,.0631580691340191,2.5588,.3333333333333333,.3333333333333333,.009350324340948,3.970291913552122,4.219507705176107,13.24458278003852,0,.0267477245779449,.010032154250788,18.76,.3321,79.83,29.1646,0,.1014900083114131,-.2318623319648908,.0339899319298194,.070305,.0477103546130188,-3.917375,0,-.072908729,.0983938192938472,.025367310959577,-2.051954174171871,1.12654,.887674,.7166751445693527,1,-.0022398456551727,22.50184589296331,2.1972246,9.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2009,.1865178668573294,.8369329068931338,1.059135039717564,1,.0337769527804838,2.3973,.3333333333333333,.1111111111111111,.009350324340948,3.988984046564275,4.382026634673881,13.40332441421193,0,.0131712984759587,.0009461110751773,18.76,.5570000000000001,81.23999999999999,37.1582,0,.1219328787554859,.0709050156572825,.4660651250236141,.170847,.0385216829357182,-3.9535,0,-.1050237,.2701023687977744,.0460975934785271,.7276042683758754,1.475423,.677772,.6985768064896655,1,.8098807370430048,22.70730098027619,2.5649493,9.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2010,.0947903238037461,.5327367333451068,.860832137733142,1,.0297194946160032,2.2446,.3333333333333333,.1111111111111111,.0084272628592122,4.007333185232471,4.52178857704904,13.71181643088723,0,.0639517633329711,.0013088124351297,19.93,1.0396,81.23999999999999,40.1208,0,.1229879728051165,.1307499061108303,.2544000829350165,.217822,.0536134190832855,-3.9878,0,.047842316,.1865178668573294,.0579420590229907,1.428573855656932,1.311918,.762243,.7014206033085816,1,.2647032484057854,22.87133544761853,2.6390574,9.835000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2011,.0911595725527643,.4753715176064532,.9756097560975612,1,.0285315390844815,1.8009,.3333333333333333,.1111111111111111,.0067118641058445,4.02535169073515,4.644390899141372,13.71745772051056,0,.0289354154541676,.0034827660695879,19.93,1.0442,67.58,43.5543,0,.1458652748160643,.1449581685715015,.2333357189920764,.230637,.0647037800688646,-4.028983,0,-.059157182,.0947903238037461,.0521651479063416,1.211887114166673,1.137113,.87942,.6528552397639044,1,.1071266233905941,22.84216533087169,1.9459101,9.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2006,0,0,0,0,.3748531284340708,0,.3636363636363636,.1818181818181818,0,4.219507705176107,3.332204510175204,12.54254845357358,0,.0080806850561754,.1716288076613656,21.74,.5368000000000001,66.65000000000001,34.5205,0,-.3169333774890702,.0354921176015167,-.0778566272905455,-.009685,.4489233887196121,-3.72633,0,.26522446,0,-.1236476810720376,.1299610162146953,1.349257,.7411489999999999,.8672294131646228,0,-.4473808315047329,20.50744241105788,0,9.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2006,0,0,0,0,.1807836031976341,.005,.3,.1,0,3.912023005428146,1.945910149055313,0,0,.0105621929363695,.1900178481957348,59.75,.193,29.8,72.054,0,.010212210347632,-.0722082912046682,-.0198239435516718,-.019669,.1457370321366536,-3.989488,0,.019918935,0,-.0280147975735091,-.2189197887944366,1.328223,.752885,.6448011461871094,1,-.6762274896336096,21.22035240394601,0,9.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2007,0,0,0,0,.260884673788467,.0009,.3333333333333333,.1111111111111111,0,3.931825632724326,2.94443897916644,0,0,.0460609240148138,.0402939732842298,59.75,.2127,29.8,72.7722,0,-.0022695531342291,-.0393960295276957,.0012897259929402,.057621,.158362720356781,-4.01632,0,-.20031656,0,-.0145238581187009,-.2243797598436727,1.694057,.590299,.6993761642554089,1,.0674355670099218,21.35733038231349,0,9.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
